MGE	MAG	Total Signal	Signal rate	Interacting Contigs
MetaTOR_MGE_00157       	metator_00096_00000     	0.296924	96.83	33
MetaTOR_MGE_00159       	metator_00016_00000     	0.828625	99.72	67
MetaTOR_MGE_00007       	metator_00016_00000     	0.638383	99.73	20
MetaTOR_MGE_00079       	metator_00002_00004     	0.265385	28.26	68
MetaTOR_MGE_00079       	metator_00002_00003     	0.612508	65.22	115
MetaTOR_MGE_00162       	metator_00059_00000     	0.345687	96.83	78
MetaTOR_MGE_00164       	metator_00022_00000     	0.377750	99.72	46
MetaTOR_MGE_00165       	metator_00002_00002     	0.232571	95.61	73
MetaTOR_MGE_00166       	metator_00018_00003     	0.269802	95.43	48
MetaTOR_MGE_00167       	metator_00007_00000     	1.110673	99.78	35
MetaTOR_MGE_00168       	metator_00027_00006     	0.225601	94.44	31
MetaTOR_MGE_00006       	metator_00096_00000     	1.274418	97.76	41
MetaTOR_MGE_00170       	metator_00018_00001     	0.153303	94.43	75
MetaTOR_MGE_00172       	metator_00027_00002     	0.032910	50.95	10
MetaTOR_MGE_00173       	metator_00033_00000     	0.270086	99.37	47
MetaTOR_MGE_00056       	metator_00022_00000     	0.771100	99.75	148
MetaTOR_MGE_00174       	metator_00007_00000     	0.959104	100.00	11
MetaTOR_MGE_00034       	metator_00005_00002     	0.583862	86.24	62
MetaTOR_MGE_00073       	metator_00007_00000     	2.769775	99.88	175
MetaTOR_MGE_00175       	metator_00007_00000     	0.930892	95.29	42
MetaTOR_MGE_00176       	metator_00064_00001     	0.094754	100.00	9
MetaTOR_MGE_00177       	metator_00064_00001     	0.072869	100.00	15
MetaTOR_MGE_00178       	metator_00033_00000     	0.376976	99.64	68
MetaTOR_MGE_00180       	metator_00005_00003     	0.035345	79.89	13
MetaTOR_MGE_00180       	metator_00005_00002     	0.007835	17.71	5
MetaTOR_MGE_00009       	metator_00028_00001     	0.147234	20.15	10
MetaTOR_MGE_00009       	metator_00028_00002     	0.128589	17.60	19
MetaTOR_MGE_00009       	metator_00028_00003     	0.445621	61.00	10
MetaTOR_MGE_00181       	metator_00013_00000     	0.466738	99.66	31
MetaTOR_MGE_00183       	metator_00052_00000     	0.116863	99.81	41
MetaTOR_MGE_00097       	metator_00002_00002     	2.264186	93.88	132
MetaTOR_MGE_00184       	metator_00007_00000     	0.834013	99.95	24
MetaTOR_MGE_00185       	metator_00061_00000     	0.047890	100.00	17
MetaTOR_MGE_00186       	metator_00005_00001     	0.147215	99.95	53
MetaTOR_MGE_00188       	metator_00064_00002     	0.494462	98.50	41
MetaTOR_MGE_00189       	metator_00022_00000     	0.188133	99.81	51
MetaTOR_MGE_00038       	metator_00025_00000     	0.883294	98.29	133
MetaTOR_MGE_00190       	metator_00009_00003     	0.128251	65.42	11
MetaTOR_MGE_00190       	metator_00009_00002     	0.059951	30.58	9
MetaTOR_MGE_00191       	metator_00022_00000     	0.133606	100.00	22
MetaTOR_MGE_00192       	metator_00018_00001     	0.114945	97.46	58
MetaTOR_MGE_00193       	metator_00018_00001     	0.132521	95.06	65
MetaTOR_MGE_00068       	metator_00025_00000     	0.918407	98.40	133
MetaTOR_MGE_00032       	metator_00002_00004     	0.576642	18.10	74
MetaTOR_MGE_00032       	metator_00002_00003     	2.425154	76.12	126
MetaTOR_MGE_00196       	metator_00027_00006     	0.276587	96.28	32
MetaTOR_MGE_00085       	metator_00007_00000     	1.773408	99.74	87
MetaTOR_MGE_00197       	metator_00096_00000     	0.238249	96.08	30
MetaTOR_MGE_00019       	metator_00002_00002     	0.785155	93.11	90
MetaTOR_MGE_00199       	metator_00096_00000     	0.184216	100.00	14
MetaTOR_MGE_00200       	metator_00082_00000     	1.018504	99.58	41
MetaTOR_MGE_00201       	metator_00027_00005     	0.048086	100.00	9
MetaTOR_MGE_00205       	metator_00007_00000     	0.847853	99.43	12
MetaTOR_MGE_00206       	metator_00007_00000     	0.830147	99.93	45
MetaTOR_MGE_00207       	metator_00035_00000     	0.180967	93.74	20
MetaTOR_MGE_00208       	metator_00064_00003     	0.341884	91.17	31
MetaTOR_MGE_00209       	metator_00016_00000     	0.214042	100.00	13
MetaTOR_MGE_00210       	metator_00025_00000     	0.330302	98.82	111
MetaTOR_MGE_00017       	metator_00014_00000     	2.000508	99.53	81
MetaTOR_MGE_00211       	metator_00030_00000     	0.309737	97.77	63
MetaTOR_MGE_00212       	metator_00059_00000     	0.484938	98.77	114
MetaTOR_MGE_00213       	metator_00024_00000     	0.292756	94.49	22
MetaTOR_MGE_00214       	metator_00002_00002     	0.204132	93.74	67
MetaTOR_MGE_00215       	metator_00013_00000     	0.218576	99.78	27
MetaTOR_MGE_00216       	metator_00025_00000     	0.905090	98.11	143
MetaTOR_MGE_00217       	metator_00007_00000     	0.848299	100.00	12
MetaTOR_MGE_00220       	metator_00013_00000     	0.284839	100.00	10
MetaTOR_MGE_00221       	metator_00007_00000     	1.300853	99.75	69
MetaTOR_MGE_00222       	metator_00013_00000     	0.289139	100.00	10
MetaTOR_MGE_00223       	metator_00007_00000     	0.590799	99.66	18
MetaTOR_MGE_00028       	metator_00027_00001     	0.151675	18.29	26
MetaTOR_MGE_00028       	metator_00027_00004     	0.594694	71.70	13
MetaTOR_MGE_00225       	metator_00033_00000     	0.158224	98.79	33
MetaTOR_MGE_00226       	metator_00013_00000     	0.224097	100.00	12
MetaTOR_MGE_00227       	metator_00002_00002     	0.130162	92.95	54
MetaTOR_MGE_00229       	metator_00016_00000     	0.412664	100.00	6
MetaTOR_MGE_00230       	metator_00018_00003     	0.304387	98.40	54
MetaTOR_MGE_00232       	metator_00007_00000     	0.685442	100.00	12
MetaTOR_MGE_00016       	metator_00022_00000     	0.798268	99.89	128
MetaTOR_MGE_00233       	metator_00022_00000     	0.080181	55.20	35
MetaTOR_MGE_00233       	metator_00029_00001     	0.064805	44.62	16
MetaTOR_MGE_00234       	metator_00007_00000     	0.989062	99.79	47
MetaTOR_MGE_00235       	metator_00022_00000     	0.272772	99.82	72
MetaTOR_MGE_00236       	metator_00096_00000     	0.077347	99.54	15
MetaTOR_MGE_00091       	metator_00001_00000     	0.764274	99.14	161
MetaTOR_MGE_00237       	metator_00059_00000     	0.168780	98.15	37
MetaTOR_MGE_00239       	metator_00028_00005     	0.097692	93.22	14
MetaTOR_MGE_00240       	metator_00007_00000     	0.652616	99.64	27
MetaTOR_MGE_00041       	metator_00033_00000     	1.819987	98.16	93
MetaTOR_MGE_00004       	metator_00027_00005     	1.332521	97.77	98
